Filename,CamId,labels
20140228_210236.jpg,19834,0
20111129_233728.jpg,3395,1
20140419_061119.jpg,11331,0
20110205_143729.jpg,3395,0
20130817_155700.jpg,9730,0
20121127_141005.jpg,7211,0
20130318_131401.jpg,19388,0
20131109_181926.jpg,9112,1
20131018_080311.jpg,65,1
20131213_130929.jpg,18590,0
20140410_143923.jpg,18590,0
20131123_090314.jpg,65,1
20140805_155217.jpg,3837,0
20131013_121406.jpg,19388,0
20110804_071012.jpg,4801,0
20131006_210648.jpg,8733,1
20130418_220644.jpg,4584,1
20130621_150654.jpg,4584,0
20140614_024527.jpg,9291,0
20130513_152724.jpg,10066,0
20131203_065223.jpg,3837,0
20131023_015312.jpg,11160,1
20130829_121028.jpg,17218,0
20140701_171118.jpg,11331,0
20130312_131156.jpg,684,0
20130729_200134.jpg,3297,0
20140506_232404.jpg,1093,0
20140928_121541.jpg,5020,0
20120829_064724.jpg,7371,0
20120516_071720.jpg,7371,0
20120920_164148.jpg,684,0
20131215_071155.jpg,623,1
20140726_044150.jpg,684,1
20130727_080547.jpg,17244,1
20130127_044312.jpg,8953,1
20131110_141017.jpg,17218,0
20141008_064600.jpg,9291,0
20140608_193559.jpg,861,0
20130305_104652.jpg,4181,1
20121119_043927.jpg,18590,1
20131018_040645.jpg,8733,1
20131021_213836.jpg,162,0
20130302_093642.jpg,8733,0
20140427_213238.jpg,19834,0
20130730_163309.jpg,65,0
20140601_214453.jpg,260,0
20131212_100309.jpg,65,1
20130708_233547.jpg,17244,0
20131014_053551.jpg,17244,1
20130716_114453.jpg,260,0
20140708_164301.jpg,75,0
20131220_172215.jpg,3837,1
20131229_164539.jpg,5020,0
20130114_073840.jpg,3396,0
20130926_145417.jpg,9483,0
20130720_184013.jpg,17218,0
20111109_081000.jpg,4801,0
20140220_133838.jpg,3396,0
20140108_074536.jpg,5020,1
20130126_120923.jpg,18590,1
20140811_154206.jpg,623,0
20140429_061517.jpg,9291,0
20140820_001150.jpg,684,0
20130628_215322.jpg,19306,0
20140816_011305.jpg,75,0
20130327_141410.jpg,19388,0
20131217_203307.jpg,65,0
20131221_050641.jpg,8733,1
20140406_164540.jpg,5020,0
20130327_233921.jpg,18590,0
20140729_201525.jpg,9291,1
20131009_081149.jpg,623,1
20131215_183035.jpg,4181,0
20131004_163140.jpg,7233,0
20121010_051007.jpg,7211,1
20110820_171002.jpg,4801,0
20130718_110646.jpg,19106,0
20130120_213645.jpg,8733,1
20120831_101145.jpg,684,1
20131105_053835.jpg,162,1
20130703_021408.jpg,19388,0
20130326_021355.jpg,3888,1
20140808_184207.jpg,623,0
20130202_103830.jpg,162,1
20130215_185325.jpg,19306,1
20130709_040923.jpg,18590,1
20131117_044221.jpg,3888,1
20131202_075734.jpg,10066,0
20130629_064636.jpg,5021,1
20121216_174154.jpg,684,0
20130111_103832.jpg,162,1
20120516_083956.jpg,7211,0
20130318_231222.jpg,3888,1
20130220_104153.jpg,623,1
20140328_033307.jpg,65,1
20130412_180148.jpg,7233,0
20120620_114008.jpg,7211,0
20130621_025322.jpg,11160,0
20120614_073958.jpg,7211,0
20130109_153544.jpg,17244,0
20120819_074013.jpg,18590,1
20130620_021010.jpg,17218,1
20131207_234015.jpg,17218,1
20131009_152730.jpg,10066,0
20130914_032400.jpg,6798,1
20130204_231151.jpg,623,0
20140528_191154.jpg,684,0
20141002_141124.jpg,11331,0
20130924_000830.jpg,162,0
20140423_190927.jpg,18590,0
20110215_113729.jpg,3395,0
20130717_070143.jpg,7233,0
