Filename,CamId,label,hoiem_Accuracy,svetlana2010_Accuracy,tcwc_Accuracy,bycluster,bycluster_falsepos,bycluster_falseneg
20131013_054633.jpg,5021,1,0.915169271,0.607864583,0.547018229,0.981385523,0.993682239,0.987703284
20140707_015400.jpg,1093,0,0.809453125,0.910872396,0.723515625,0.946727519,1,0.946727519
20140419_062401.jpg,1093,1,0.624882813,0.756419271,0.684479167,0.957768654,0.985790019,0.971978635
20130925_084636.jpg,5021,0,0.916145833,0.929296875,0.975677083,0.950434471,0.993781888,0.956652583
20130516_014641.jpg,5021,1,0.924192708,0.941770833,0.547018229,0.981903699,0.993602519,0.98830118
20140607_142359.jpg,1093,0,0.858645833,0.949427083,0.994921875,0.985949458,1,0.985949458
20130627_141803.jpg,5021,0,0.641940104,0.887799479,0.911861979,0.95705118,0.95968192,0.99736926
20130726_231633.jpg,5021,1,0.8471875,0.771953125,0.547018229,0.978336256,0.983478157,0.994858099
20130106_171634.jpg,8438,0,0.849726563,0.939101563,0.978346354,0.990134726,0.998764349,0.991370376
20130914_051630.jpg,5021,1,0.940690104,0.957929688,0.547018229,0.984873246,0.990194515,0.994678731
20131031_174630.jpg,5021,0,0.887552083,0.948528646,0.973424479,0.965900032,0.996611926,0.969288106
20131020_084634.jpg,5021,0,0.938606771,0.94125,0.977161458,0.979850925,0.997050383,0.982800542
20131028_144259.jpg,75,0,0.953554688,0.953411458,0.170481771,0.954121492,0.999521684,0.954599809
20130612_114630.jpg,5021,0,0.919557292,0.938776042,0.976171875,0.98826132,0.997747927,0.990513393
20140425_173238.jpg,19834,0,0.935117188,0.976432292,0.853723958,0.98048868,0.986746652,0.993742028
20140314_120241.jpg,19834,0,0.462929688,0.9559375,0.515664063,0.98311942,0.994559152,0.988560268
20130724_204639.jpg,8438,0,0.767200521,0.980911458,0.986184896,0.991569675,0.999641263,0.991928412
20130125_174636.jpg,8438,0,0.841432292,0.933710938,0.975651042,0.988600128,0.997927296,0.990672832
20140803_055404.jpg,1093,1,0.561041667,0.705273438,0.604257813,0.937021684,1,0.937021684
20140423_050243.jpg,19834,1,0.465690104,0.550065104,0.470299479,0.968590561,0.996930804,0.971659758
20130202_164300.jpg,75,0,0.976054688,0.990208333,0.170013021,0.978694994,0.999461894,0.979233099
20140716_224255.jpg,75,0,0.884453125,0.829986979,0.170013021,0.967693718,0.9986647,0.969029018
20130208_171638.jpg,8438,0,0.763463542,0.969635417,0.636015625,0.978097098,0.999740912,0.978356186
20140713_025408.jpg,1093,1,0.798294271,0.798242188,0.601940104,0.927016901,1,0.927016901
20130626_014634.jpg,8438,0,0.724322917,0.976835938,0.844414063,0.974928253,0.99994021,0.974988042
20130516_044633.jpg,8438,1,0.570338542,0.445039063,0.581367188,0.954819037,0.993383291,0.961435746
20140812_171303.jpg,75,0,0.940677083,0.993489583,0.170013021,0.943797832,0.999880421,0.943917411
20140509_045354.jpg,1093,1,0.56328125,0.655559896,0.619921875,0.942382813,1,0.942382813
20130422_201304.jpg,75,0,0.974309896,0.993424479,0.170013021,0.970344388,0.999441964,0.970902423
20130518_084630.jpg,8438,1,0.526835938,0.487148438,0.562643229,0.970543686,0.984454719,0.986088967
20130408_044635.jpg,8438,1,0.520169271,0.466158854,0.564114583,0.985052615,0.992625957,0.992426658
20131112_011302.jpg,75,0,0.986380208,0.989518229,0.170013021,0.9908522,0.998963648,0.991888552
20130508_051636.jpg,8438,1,0.572851563,0.487682292,0.581367188,0.947345344,0.9986647,0.948680644
20140605_120244.jpg,19834,0,0.974010417,0.972942708,0.606822917,0.97785794,0.993303571,0.984554369
20130804_041637.jpg,8438,1,0.530885417,0.475325521,0.563072917,0.945850606,0.97524713,0.970603476
20140705_052417.jpg,1093,1,0.5484375,0.721302083,0.683255208,0.942323023,0.999701052,0.942621971
20140105_004302.jpg,75,0,0.933372396,0.829986979,0.170013021,0.986108897,0.999422034,0.986686862
20130704_231632.jpg,5021,1,0.905677083,0.759648438,0.547018229,0.979272959,0.985212054,0.994060906
20130916_221305.jpg,75,0,0.914335938,0.993398438,0.170013021,0.981604751,0.99870456,0.982900191
20130407_004252.jpg,75,0,0.978385417,0.988880208,0.170013021,0.916234853,0.999621333,0.91661352
20140709_035409.jpg,1093,1,0.765260417,0.861041667,0.628424479,0.922592474,1,0.922592474
